name,age,sponsor,fights,strikes,strike_accuracy,take_downs,take_down_accuracy,knock_downs,reversals,submissions
"Velasquez, Cain",Bud Light,35,15,1446,69.50,34,43.60,9,0,0
"Mir, Frank",Bud Light,35,27,593,59.50,21,40.40,8,1,8
"Werdum, Fabricio",Reebock,40,16,1096,61.40,12,25.50,4,2,3
"Miocic, Stipe",Tapout,35,15,1190,62.50,23,37.10,5,0,0
"Browne, Travis",Tapout,35,17,473,45.30,11,68.80,6,0,1
"Tybura, Marcin",Reebock,32,6,586,63.00,6,54.50,1,1,0
"Barnett, Josh",Bud Light,33,10,643,70.90,5,62.50,1,1,2
"Lewis, Derrick",Xbox,33,13,397,54.30,5,29.40,4,1,0
"Rothwell, Ben",Bud Light,34,11,373,49.40,7,33.30,3,0,2
"Struve, Stefan",Xbox,30,20,665,52.20,6,50.00,3,6,5
"Blaydes, Curtis",Xbox,27,7,482,60.30,29,54.70,1,0,0
"Nelson, Roy",Tapout,34,19,630,46.10,16,29.60,7,0,0
"Hamilton, Anthony",Tapout,29,11,324,70.00,11,42.30,1,0,0
"Oleinik, Aleksei",Reebock,32,7,295,69.70,8,53.30,2,1,3
"Hunt, Mark",Reebock,32,17,683,56.80,7,53.80,9,1,0
"Henrique, Luis",Reebock,33,7,280,58.00,11,36.70,0,0,2